Timestamp,Do you use Dropbox as your main cloud storage?,How often do you use Dropbox?,What types of files do you store in your Dropbox account?,With whom do you share Dropbox files?,How much are you paying for your Dropbox services?,"Do you use any task management tool? e.g. Trello, Wunderlist, Google Calendar, Airtable, Notion, etc.",Are you paying for task management tool?,"Do you think by adding task management features to Dropbox, it will increase you or your team's productivity?",Would you be willing to pay extra money for Dropbox's task management features?,By how much are you willing to pay for Dropbox's task management features (in addition to what you are paying for its storage services)?,What cloud storage product do you use mostly?,Why do you choose the competitor's service over Dropbox?,What types of files do you store in your cloud storage product?,With whom do you share files?,Are you paying for the cloud storage you mentioned above?,How much are you paying for the cloud storage?,"Do you use any task management tool? e.g. Trello, Wunderlist, Google Calendar, Airtable, Notion, etc.",Are you paying for task management tool?,"If most of your families/friends/colleagues are using Dropbox to share files to you, are you likely to switch to Dropbox?","If Dropbox develops features for task management (e.g. To do list, calendar), are you willing to switch to Dropbox?","If you are willing to switch, how much are you willing to pay to use both Dropbox's storage service and its task management features?",Any other potential reasons that can make you switch to Dropbox or pay for Dropbox but we didn't think of?
5/24/2019 19:35:08,No,,,,,,,,,,Google Drive,"Better integration with other service (such as iCloud with iOS and MacOS, Google Drive with Gmail, etc), More features within the service (such as Google docs and spreadsheets within Google Drive, OneNote with One Drive), Price, My family, friends, or coworkers using this service",Both personal and professional files,"Family and friends, Within my organization (classmates/colleagues)",No,$0,No,No,Yes,No,,
5/24/2019 19:35:39,Yes,Multiple times a day,Both personal and professional files,Within my organization (classmates/colleagues),I am using a free account,Yes,Yes,Maybe,Maybe,$3 /mo,,,,,,,,,,,,
5/24/2019 19:44:20,No,,,,,,,,,,Google Drive,"More features within the service (such as Google docs and spreadsheets within Google Drive, OneNote with One Drive)",Both personal and professional files,"Family and friends, Within my organization (classmates/colleagues)",No,$0,Yes,No,No,No,,
5/24/2019 19:45:57,Yes,Multiple times a day,Both personal and professional files,No one/ I don't share files with others.,$16.58 / month (yearly plan),Yes,No,Maybe,No,$0 /mo,,,,,,,,,,,,
5/24/2019 19:46:57,Yes,Multiple times a day,Both personal and professional files,Within my organization (classmates/colleagues),I am using a free account,No,No,Maybe,Maybe,$0 /mo,,,,,,,,,,,,
5/24/2019 19:47:12,No,,,,,,,,,,Google Drive,Price,Both personal and professional files,No one/ I don't share files with others.,No,$0,No,No,Maybe,Maybe,$0.01 - $5.00 per month,
5/24/2019 19:50:22,No,,,,,,,,,,Google Drive,"Better integration with other service (such as iCloud with iOS and MacOS, Google Drive with Gmail, etc), More features within the service (such as Google docs and spreadsheets within Google Drive, OneNote with One Drive)",Both personal and professional files,Within my organization (classmates/colleagues),Yes,$0.01 - $5.00 per month,Yes,No,Maybe,Maybe,$0.01 - $5.00 per month,
5/24/2019 19:51:00,Yes,Multiple times a day,Professional files,"Within my organization (classmates/colleagues), Outside my organization (e.g. business partners, clients etc)",I am using a free account,No,No,Maybe,Maybe,$0 /mo,,,,,,,,,,,,
5/24/2019 19:51:26,No,,,,,,,,,,Google Drive,"My family, friends, or coworkers using this service",Both personal and professional files,No one/ I don't share files with others.,No,$0,Yes,No,Maybe,Maybe,$0,
5/24/2019 19:55:22,No,,,,,,,,,,Baidu Wangpan/百度网盘,Price,Both personal and professional files,No one/ I don't share files with others.,Yes,$0.01 - $5.00 per month,Yes,No,Yes,No,,
